Case Number;Gamma;Lambda;Horizon;Batch Size;Buffer Size;Epochs;Learning Rate;Hidden Units;Hidden Layer;Convolutional Layer;Memory Size
1;0.995;0.95;1000;512;20480;3;0.0003;128;2;0;0
2;0.9;0.95;3;32;256;3;0.0003;20;1;0;0
3;0.99;0.99;1000;64;12000;3;0.0003;128;2;0;0
4;0.9;0.95;5;32;256;3;0.0003;256;1;2;0
5;0.99;0.95;64;128;2048;3;0.0003;256;1;2;0
6;0.99;0.95;64;64;1024;3;0.0003;128;1;2;128
7;0.99;0.95;64;128;1024;3;0.0003;128;2;0;128
8;0.99;0.95;64;64;1024;3;0.0003;128;1;2;128
9;0.995;0.95;1000;2024;20240;3;0.0003;512;3;0;0
10;0.995;0.95;1000;2024;20240;3;0.0003;512;3;0;0
11;0.99;0.95;1000;120;12000;3;0.0003;128;2;0;0
12;0.99;0.95;2048;128;2048;10;0.0003;256;2;0;0
13;0.99;0.95;1024;2048;20480;10;0.0007;256;2;0;0
14;0.99;0.95;256;128;12000;10;0.0003;256;2;0;0
15;0.99;0.95;256;128;2048;10;0.0003;256;1;2;0
16;0.99;0.95;256;128;256;10;0.0003;256;2;0;0
17;0.99;0.95;256;128;12000;10;0.0003;256;2;0;0
18;0.96836;0.99944;2048;16;512;5;0.00005;64;3;0;0
19;0.96836;0.99944;2048;16;512;5;0.00005;64;3;0;0
20;0.9958;0.99183;2048;128;512;5;0.0068;32;3;0;0
21;0.9958;0.99183;2048;128;512;5;0.0068;32;3;0;0
22;0.99;0.95;2048;64;1024;10;0.0003;64;2;0;0
23;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
24;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
25;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
26;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
27;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
28;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
29;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
30;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
31;0.9;0.5;200;32;256;10;0.0001;64;2;0;0
32;0.9;0.5;200;32;256;10;0.0001;64;1;2;0
33;0.9;0.5;200;32;256;10;0.0001;64;1;2;0
34;0.9;0.5;200;32;256;10;0.0001;64;1;2;0
35;0.9;0.5;200;32;256;10;0.0001;64;1;2;0
36;0.99;0.95;2048;32;256;10;0.0003;64;2;0;0
37;0.99;0.95;2048;32;256;10;0.0003;64;2;0;0
38;0.99;0.95;2048;32;256;10;0.0003;64;2;0;0
39;0.99;0.95;2048;32;256;10;0.0003;64;2;0;0
40;0.99;0.95;2048;64;512;10;0.0003;64;2;0;0
41;0.99;0.95;2048;64;512;10;0.0003;64;2;0;0
42;0.999;0.8;2048;8;256;30;0.000425;64;3;3;0
